Trabajos,CantEnMaquina,Ticks,Resultado,Caso
255,131,0.108702,74587955,Random
927,452,2.45943,269749983,Random
593,292,0.783386,162788093,Random
524,265,0.596718,162695943,Random
57,29,0.006781,17278552,Random
1,1,2e-05,795149,Random
729,351,1.3903,203410899,Random
969,475,2.69248,281426112,Random
774,391,1.54059,216044843,Random
821,417,1.86156,241449119,Random
540,268,0.653922,157938059,Random
230,112,0.08601,72415816,Random
576,275,0.766091,168481820,Random
850,435,2.06156,256512911,Random
252,121,0.101545,70900521,Random
752,389,1.54614,218462174,Random
214,91,0.093289,64129040,Random
288,138,0.150216,87336980,Random
804,430,1.90401,231439129,Random
110,55,0.020491,30441405,Random
87,37,0.013961,29205194,Random
133,71,0.029621,39813891,Random
833,426,2.01609,238305057,Random
422,202,0.345779,124820184,Random
502,257,0.5376,149022073,Random
178,92,0.05081,54922157,Random
633,325,0.989776,183721512,Random
859,444,2.05967,244672241,Random
559,276,0.719465,162334751,Random
379,194,0.264957,101981162,Random
765,375,1.52198,223814513,Random
865,431,2.07519,249183433,Random
733,367,1.32783,211798557,Random
375,203,0.249248,111501334,Random
3,2,4e-05,1568483,Random
949,464,2.55882,278895050,Random
869,443,2.0482,258646004,Random
650,331,0.99161,186422646,Random
26,9,0.001573,9150512,Random
585,299,0.792666,169682193,Random
696,349,1.18421,200912222,Random
652,327,1.02168,189792305,Random
704,372,1.21157,201620910,Random
310,153,0.157571,86952588,Random
182,95,0.052846,55354941,Random
268,131,0.114192,77916317,Random
276,143,0.124218,84556105,Random
710,344,1.23155,210174731,Random
96,54,0.018155,28979420,Random
572,282,0.719947,169473033,Random
938,479,2.46343,269387815,Random
628,327,0.918467,186548905,Random
839,403,1.88404,245579638,Random
420,205,0.318875,122487954,Random
979,476,2.76389,285732355,Random
594,305,0.765559,170284802,Random
840,439,1.88074,249619127,Random
539,284,0.607264,156934946,Random
710,358,1.20315,207002740,Random
285,135,0.131332,81414594,Random
58,34,0.005082,17048629,Random
658,327,1.0105,198587142,Random
471,244,0.436259,133252334,Random
735,372,1.3595,214392721,Random
756,384,1.44978,225985537,Random
640,320,0.950069,179837163,Random
67,29,0.008934,20285386,Random
919,451,2.39429,264690704,Random
170,83,0.044132,48175972,Random
460,225,0.407041,137424329,Random
206,103,0.06716,66764849,Random
24,12,0.000975,7845428,Random
241,123,0.089325,71632172,Random
165,79,0.041308,50091796,Random
240,105,0.088158,72326416,Random
350,174,0.211648,100957777,Random
730,375,1.3203,219054298,Random
926,456,2.36821,265804853,Random
668,326,1.04625,190807507,Random
818,405,1.75615,237509612,Random
359,188,0.221504,105022645,Random
898,429,2.20081,258094368,Random
614,310,0.852743,182571832,Random
300,156,0.143159,86262591,Random
632,306,0.92092,185408235,Random
296,155,0.139234,85762690,Random
719,345,1.24993,214094868,Random
771,378,1.49226,224571593,Random
255,132,0.101547,68131267,Random
538,277,0.609027,159164372,Random
681,333,1.10555,190303394,Random
706,366,1.2098,209382371,Random
978,501,2.7573,277511397,Random
851,403,1.92613,253901006,Random
953,473,2.61976,283166030,Random
755,386,1.43474,219987891,Random
808,408,1.72344,229848431,Random
863,419,1.99772,253360733,Random
801,410,1.63973,235424198,Random
827,418,1.81927,241600377,Random
662,346,1.03007,198530479,Random
39,18,0.003301,11702856,Random
958,487,2.62227,273594595,Random
828,414,1.87623,232046602,Random
894,426,2.3414,256759646,Random
343,182,0.221906,104684448,Random
220,101,0.09421,65291333,Random
923,471,2.38583,264873537,Random
691,327,1.15538,204165076,Random
73,36,0.008092,19226621,Random
248,125,0.102781,74459075,Random
51,25,0.004296,15271053,Random
557,294,0.701964,163107817,Random
195,112,0.059518,57598559,Random
604,309,0.839622,180313352,Random
598,294,0.783496,178443156,Random
520,257,0.562273,153543946,Random
359,178,0.220151,103875798,Random
141,65,0.032254,39491596,Random
472,238,0.439503,143930624,Random
658,345,1.02329,188460572,Random
127,65,0.026008,34140764,Random
119,56,0.023863,35574292,Random
565,290,0.703753,162811500,Random
723,354,1.34446,210513425,Random
530,269,0.608609,154110613,Random
666,337,1.07948,195518334,Random
743,362,1.36363,211859479,Random
679,345,1.11353,190568961,Random
614,308,0.851518,165123324,Random
200,91,0.060885,56129494,Random
557,268,0.657834,162781924,Random
284,145,0.127822,86417873,Random
253,129,0.101658,73515621,Random
270,142,0.114825,78701734,Random
127,64,0.028182,36171318,Random
929,450,2.4482,264103618,Random
768,398,1.51025,226671707,Random
175,88,0.048427,55214718,Random
490,237,0.470978,140470169,Random
187,94,0.053112,61172086,Random
563,276,0.684438,158696701,Random
266,140,0.11145,82355329,Random
784,388,1.5777,227876276,Random
191,102,0.061058,51767419,Random
756,376,1.46086,214261432,Random
706,342,1.23401,202300869,Random
792,397,1.64977,217590383,Random
197,79,0.076287,57150219,Random
979,487,2.90062,286023047,Random
396,205,0.289767,116766276,Random
161,76,0.03967,46533927,Random
907,435,2.22835,258961169,Random
210,96,0.065807,57114368,Random
316,159,0.164584,96147597,Random
675,327,1.10726,191654525,Random
979,496,2.79427,285341563,Random
306,151,0.153118,83415173,Random
890,471,2.29888,265127439,Random
799,424,1.76081,234823861,Random
894,454,2.37995,256511577,Random
586,282,0.776546,173085170,Random
442,227,0.382002,122919963,Random
409,211,0.316082,120835587,Random
754,386,1.42384,228818026,Random
906,449,2.24898,257218014,Random
53,21,0.005799,15013496,Random
794,390,1.64483,242774193,Random
104,58,0.018413,30724281,Random
46,23,0.003429,12322608,Random
280,141,0.124099,74580885,Random
406,206,0.30531,130004653,Random
280,132,0.1325,85295138,Random
44,25,0.004037,12348505,Random
502,261,0.530941,147280075,Random
751,400,1.48293,222401559,Random
594,308,0.79175,173589537,Random
525,269,0.585187,154985222,Random
166,86,0.044876,50149748,Random
842,444,1.96457,238680149,Random
838,427,2.00782,244762512,Random
524,276,0.607432,148991512,Random
390,203,0.296286,117999073,Random
250,124,0.103576,72086364,Random
924,468,2.50991,271680778,Random
549,273,0.657152,158356999,Random
2,1,4.2e-05,478981,Random
748,378,1.41091,213031857,Random
693,371,1.17551,200787135,Random
941,481,2.58384,270819340,Random
846,406,1.90775,238865844,Random
205,105,0.065562,60494291,Random
307,163,0.154377,84085726,Random
971,504,2.75767,277720269,Random
401,206,0.288792,122547761,Random
624,328,0.877073,181160790,Random
481,231,0.465807,134571112,Random
23,9,0.001223,7730975,Random
891,462,2.17198,255344987,Random
836,411,1.84336,240553516,Random
902,457,2.34167,261511307,Random
454,220,0.39339,135639716,Random
783,383,1.5692,223563247,Random
173,78,0.047146,47225172,Random
759,357,1.50165,207246457,Random
644,323,1.0081,191184541,Random
732,350,1.33784,204572869,Random
596,308,0.846807,179410487,Random
920,457,2.45565,257807164,Random
324,164,0.178366,90640657,Random
48,22,0.003545,14457421,Random
739,360,1.38707,217715578,Random
561,286,0.694686,162592199,Random
157,74,0.041616,43096069,Random
367,185,0.236056,101894964,Random
320,176,0.168158,94887324,Random
838,407,1.86965,236512226,Random
304,149,0.147549,93695476,Random
773,396,1.53558,223053054,Random
983,468,2.88102,290938702,Random
342,178,0.195921,100027299,Random
858,442,1.99277,242327632,Random
549,278,0.653128,156213608,Random
962,483,2.69774,272968440,Random
302,160,0.148243,88178844,Random
563,291,0.726473,153017166,Random
715,351,1.26206,204344488,Random
133,72,0.026857,39556860,Random
310,159,0.157592,86550041,Random
156,73,0.039795,44017103,Random
3,1,5.4e-05,541062,Random
843,422,1.94006,250706887,Random
937,500,2.62696,283449194,Random
286,140,0.131231,83895348,Random
219,110,0.077039,60193711,Random
278,142,0.136995,74397764,Random
107,52,0.018026,33499756,Random
794,418,1.6662,239876272,Random
275,138,0.122062,78693497,Random
82,44,0.010158,25949181,Random
228,109,0.093776,64870993,Random
513,267,0.563848,151412218,Random
497,244,0.533562,136355631,Random
234,118,0.089684,72128735,Random
580,280,0.775827,174089207,Random
835,405,1.83282,237638840,Random
419,204,0.324009,122011212,Random
760,387,1.47966,215628048,Random
849,439,1.92869,237500028,Random
370,187,0.243836,108798010,Random
153,70,0.038165,41771385,Random
32,18,0.001549,9946753,Random
722,359,1.29577,206224291,Random
933,471,2.42092,273504464,Random
912,447,2.35454,272986894,Random
297,152,0.140529,86200717,Random
411,204,0.306462,119332026,Random
666,316,1.01983,193908514,Random
218,112,0.073357,58895077,Random
923,462,2.41399,271912809,Random
632,308,0.935461,187081197,Random
905,432,2.37036,261835617,Random
353,191,0.223947,102429086,Random
19,9,0.000668,6783586,Random
753,375,1.52786,216374881,Random
949,443,2.64585,276654369,Random
560,277,0.711674,163082980,Random
803,429,1.74597,238447583,Random
682,335,1.09072,198090067,Random
837,398,1.92382,236049736,Random
15,11,0.000398,4279647,Random
263,129,0.156453,71822715,Random
859,437,2.17282,251174853,Random
599,282,0.818043,177782094,Random
538,263,0.652273,158033841,Random
10,5,0.000277,2627705,Random
361,182,0.233353,113452537,Random
16,8,0.000435,5417145,Random
532,258,0.601905,158786470,Random
119,58,0.021927,33589250,Random
370,176,0.244815,108367654,Random
967,484,2.67975,271019702,Random
742,378,1.46226,208578269,Random
492,253,0.514746,146448562,Random
846,431,1.99785,238530539,Random
954,454,2.59139,272305948,Random
178,75,0.047885,52383890,Random
680,338,1.09491,202297149,Random
35,17,0.001868,8782246,Random
765,390,1.59338,225792320,Random
959,488,2.82134,274343150,Random
687,330,1.17147,200793820,Random
863,429,2.01383,249074337,Random
54,30,0.004644,15543858,Random
283,148,0.134356,84214473,Random
962,483,2.67321,277637990,Random
706,352,1.68999,203555983,Random
841,423,2.3514,-1557340675,Random+4
368,187,0.262684,100088403,Random
380,180,0.264565,107577247,Random
674,327,1.23656,-1115551828,Random+4
191,92,0.05834,1974587256,Random+4
699,342,1.39716,198593841,Random
743,386,1.87454,228559601,Random
133,63,0.032364,40702965,Random
936,461,2.9795,-626068618,Random+4
181,85,0.055379,969925791,Random+4
664,319,1.42677,-2122697066,Random+4
272,134,0.187897,1511815788,Random+4
942,451,3.28968,280760335,Random
853,412,2.41384,-347567680,Random+4
85,35,0.015104,-63831514,Random+4
438,228,0.645308,121861473,Random+4
445,227,0.549043,1681734612,Random+4
115,57,0.027807,-1352976417,Random+4
391,189,0.43178,554302860,Random+4
124,59,0.036065,-445241967,Random+4
442,212,0.688312,1385584908,Random+4
895,449,3.33009,260708754,Random
761,375,2.10915,223926502,Random+4
68,35,0.009457,19960981,Random+4
197,87,0.075078,55773135,Random+4
396,207,0.435248,118300277,Random+4
47,26,0.004795,15750544,Random+4
551,269,0.990543,156448810,Random
424,224,0.470771,126781550,Random
178,94,0.063589,53074071,Random
522,270,1.07842,146379061,Random
208,107,0.103773,55387293,Random
112,55,0.027952,31339751,Random
934,481,3.77626,-824709600,Random+4
957,499,4.79852,282002832,Random+4
540,270,1.3986,164862488,Random+4
943,474,4.49524,273029695,Random
1,1,2.8e-05,47035,Random
