cantServidores cantEnlaces costoDelAGM maxPathSize tiempoConsultora1 tiempoConsultora2 
1 0 0 1 34300 55800
1 0 0 1 33100 51100
1 0 0 1 12200 18900
1 0 0 1 12100 18800
1 0 0 1 12300 18900
1 0 0 1 12100 18600
1 0 0 1 12100 18600
1 0 0 1 12100 18800
1 0 0 1 12000 18800
1 0 0 1 12100 18800
1 0 0 1 12400 19100
1 0 0 1 12400 18800
1 0 0 1 12100 21600
1 0 0 1 12500 21900
1 0 0 1 12100 18700
1 0 0 1 12000 19100
1 0 0 1 12100 18700
1 0 0 1 12300 20100
1 0 0 1 12100 18700
1 0 0 1 12200 18900
1 0 0 1 12200 18900
1 0 0 1 12100 18700
1 0 0 1 12000 18700
1 0 0 1 12100 18700
1 0 0 1 12300 18900
1 0 0 1 12300 19000
1 0 0 1 12200 18600
1 0 0 1 12200 18800
1 0 0 1 12100 18600
1 0 0 1 12000 18600
1 0 0 1 12300 24800
1 0 0 1 16300 25500
1 0 0 1 12400 19000
1 0 0 1 13000 19500
1 0 0 1 12300 29400
1 0 0 1 12000 18800
1 0 0 1 12100 18700
1 0 0 1 12000 18700
1 0 0 1 13400 18600
1 0 0 1 12100 18700
1 0 0 1 12100 18800
1 0 0 1 12000 18600
1 0 0 1 12000 18700
1 0 0 1 12300 18900
1 0 0 1 12100 18700
1 0 0 1 12000 21700
1 0 0 1 12100 18600
1 0 0 1 12000 18700
1 0 0 1 12000 18600
1 0 0 1 12100 18800
1 0 0 1 12400 19300
1 0 0 1 12500 19000
1 0 0 1 12300 19000
1 0 0 1 12400 18600
1 0 0 1 12200 18900
1 0 0 1 12400 19200
1 0 0 1 12300 21800
1 0 0 1 13000 19000
1 0 0 1 13000 18700
1 0 0 1 12400 18700
1 0 0 1 15800 20900
1 0 0 1 18700 31200
1 0 0 1 18900 32000
1 0 0 1 18800 29800
1 0 0 1 15800 24700
1 0 0 1 26300 25000
1 0 0 1 16300 30900
1 0 0 1 19300 29900
1 0 0 1 17800 26600
1 0 0 1 15200 23700
1 0 0 1 15800 28000
1 0 0 1 19000 30400
1 0 0 1 18100 32700
1 0 0 1 16000 24200
1 0 0 1 15900 27800
