cantServidores cantEnlaces costoDelAGM maxPathSize tiempoConsultora1 tiempoConsultora2 
1 0 0 1 12900 19400
1 0 0 1 12100 18800
1 0 0 1 13400 19000
1 0 0 1 12300 19000
1 0 0 1 12000 18800
1 0 0 1 12100 18800
1 0 0 1 12100 18900
1 0 0 1 12100 18800
1 0 0 1 12100 18900
1 0 0 1 12000 22200
1 0 0 1 12200 18700
1 0 0 1 12000 18700
1 0 0 1 12200 19100
1 0 0 1 12400 18900
1 0 0 1 12200 18700
1 0 0 1 12300 20700
1 0 0 1 15200 18700
1 0 0 1 12100 18700
1 0 0 1 12200 18600
1 0 0 1 12200 19000
1 0 0 1 13000 20700
1 0 0 1 12100 18900
1 0 0 1 12200 18900
1 0 0 1 12000 18600
1 0 0 1 12100 18600
1 0 0 1 12000 18900
1 0 0 1 12100 19000
1 0 0 1 12100 19000
1 0 0 1 12200 18700
1 0 0 1 12200 18700
1 0 0 1 12000 18800
1 0 0 1 12000 18600
1 0 0 1 17600 20200
1 0 0 1 16400 26000
1 0 0 1 18700 27800
1 0 0 1 13600 19900
1 0 0 1 12100 18700
1 0 0 1 12000 18700
1 0 0 1 12000 18600
1 0 0 1 12000 18600
1 0 0 1 12100 18800
1 0 0 1 12000 18600
1 0 0 1 12800 18700
1 0 0 1 12100 18600
1 0 0 1 12000 18600
1 0 0 1 12400 19100
1 0 0 1 12100 18700
1 0 0 1 12100 18800
1 0 0 1 12000 18600
1 0 0 1 12100 18600
1 0 0 1 12000 18800
1 0 0 1 12100 18900
1 0 0 1 12300 19300
1 0 0 1 15000 19000
1 0 0 1 12200 18900
1 0 0 1 12100 18900
1 0 0 1 12100 19100
1 0 0 1 12400 22800
1 0 0 1 12200 19800
1 0 0 1 12200 19700
1 0 0 1 12200 20000
1 0 0 1 12100 23100
1 0 0 1 12100 31400
1 0 0 1 19700 37600
1 0 0 1 18500 24700
1 0 0 1 15100 24600
1 0 0 1 16500 31400
1 0 0 1 18900 30200
1 0 0 1 19700 26800
1 0 0 1 15400 24200
1 0 0 1 16200 34600
1 0 0 1 19500 31000
1 0 0 1 19200 32400
1 0 0 1 19100 32000
1 0 0 1 15000 26500
1 0 0 1 15400 24500
1 0 0 1 16200 30900
1 0 0 1 18900 30900
1 0 0 1 19000 31500
