cantServidores cantEnlaces costoDelAGM maxPathSize tiempoConsultora1 tiempoConsultora2 
1 0 0 1 34300 51600
2 1 3 2 68200 65800
3 2 6 3 69300 72900
4 3 28 3 86600 82200
5 4 51 3 104900 80600
6 5 98 3 124100 91100
7 6 154 3 141300 90500
8 7 203 3 104100 34600
9 8 265 3 67600 36200
10 9 328 3 75900 38200
11 10 581 3 87200 41000
12 11 602 3 97900 41000
13 12 1063 3 126600 62200
14 13 1393 3 146000 62700
15 14 1325 3 139100 45900
16 15 1953 3 125700 47500
17 16 2867 3 136800 48800
18 17 2513 3 144600 49800
19 18 3742 3 156800 52000
20 19 3830 3 164300 52700
21 20 4135 3 181100 54500
22 21 4335 3 186200 56500
23 22 6711 3 192400 57500
24 23 6539 3 206000 65500
25 24 7188 3 220200 60600
26 25 9096 3 227500 62000
27 26 9213 3 236200 65400
28 27 11622 3 271000 70300
29 28 7467 3 261000 67100
30 29 12186 3 271600 68300
31 30 16112 3 282900 69800
32 31 16047 3 297900 71200
33 32 19612 3 316000 73200
34 33 20151 3 326200 74100
35 34 21371 3 338700 77900
36 35 22690 3 348800 78900
37 36 25604 3 365500 78500
38 37 24819 3 374700 80000
39 38 28370 3 392600 81500
40 39 32519 3 409300 83600
41 40 34409 3 425400 84900
42 41 35022 3 442600 88500
43 42 40084 3 454300 87800
44 43 41842 3 472600 90800
45 44 37349 3 485600 90700
46 45 46273 3 504000 93900
47 46 51306 3 516300 93700
48 47 53805 3 565000 95700
49 48 68908 3 552300 96900
50 49 67586 3 566000 99400
51 50 72861 3 585100 102700
52 51 62232 3 601300 101200
53 52 71740 3 617600 103100
54 53 77999 3 640600 104200
55 54 82327 3 652700 105700
56 55 92202 3 674000 107400
57 56 98926 3 687200 110200
58 57 93498 3 710900 113800
59 58 106926 3 728000 111900
60 59 124170 3 749700 141200
61 60 109608 3 767100 116400
62 61 115438 3 788900 116200
63 62 115848 3 807800 121300
64 63 123487 3 824800 119000
65 64 141443 3 843700 122200
66 65 135014 3 868900 122800
67 66 147779 3 892300 125200
68 67 168779 3 911600 128100
69 68 158224 3 932500 129400
70 69 149399 3 993300 131300
71 70 188811 3 976100 132500
72 71 201651 3 997200 133000
73 72 185377 3 1020500 135800
74 73 200528 3 1041800 135000
75 74 203652 3 1066700 134500
76 75 195288 3 1089000 137300
77 76 211606 3 1110100 140100
78 77 230680 3 1162100 140200
79 78 251984 3 1160900 141800
80 79 255566 3 1194300 143100
81 80 262659 3 1205000 146700
82 81 276371 3 1230100 146700
83 82 283495 3 1253800 147900
84 83 291334 3 1277400 151500
85 84 325736 3 1330100 152400
86 85 301383 3 1329800 153800
87 86 322294 3 1395200 158100
88 87 353303 3 1377700 156900
89 88 378072 3 1409400 158900
90 89 372131 3 1437800 158300
91 90 391844 3 1488600 159800
92 91 378590 3 1480000 164800
93 92 430858 3 1522800 163200
94 93 465750 3 1541600 168000
95 94 461960 3 1566200 165800
96 95 444217 3 1591200 171300
97 96 471888 3 1654300 170300
98 97 463774 3 1651800 170200
99 98 433461 3 1686200 171700
100 99 481361 3 1709800 173300
