cantServidores cantEnlaces costoDelAGM maxPathSize tiempoConsultora1 tiempoConsultora2 
1 0 0 1 34300 51600
1 0 0 1 33200 51400
1 0 0 1 32400 50200
1 0 0 1 32200 57700
1 0 0 1 32900 50400
1 0 0 1 32600 49800
1 0 0 1 37900 49800
1 0 0 1 32300 51000
1 0 0 1 12700 19400
1 0 0 1 12100 18900
1 0 0 1 12200 19000
1 0 0 1 12200 18700
1 0 0 1 12200 18800
1 0 0 1 12300 19200
1 0 0 1 12200 18700
1 0 0 1 12300 19000
1 0 0 1 12100 18700
1 0 0 1 12000 18700
1 0 0 1 12200 22700
1 0 0 1 12200 18900
1 0 0 1 12300 19100
1 0 0 1 12200 18900
1 0 0 1 12100 18700
1 0 0 1 12000 18800
1 0 0 1 12300 18900
1 0 0 1 12300 19000
1 0 0 1 12200 18800
1 0 0 1 12000 18700
1 0 0 1 12000 18600
1 0 0 1 12100 18500
1 0 0 1 12100 18800
1 0 0 1 12000 18600
1 0 0 1 12000 18700
1 0 0 1 12000 18900
1 0 0 1 12300 18700
1 0 0 1 12100 18900
1 0 0 1 12000 18600
1 0 0 1 12000 18800
1 0 0 1 12100 18600
1 0 0 1 12000 18600
1 0 0 1 12400 19200
1 0 0 1 18600 19400
1 0 0 1 12300 19000
1 0 0 1 12300 18600
1 0 0 1 12200 18900
1 0 0 1 12400 19200
1 0 0 1 12200 18800
1 0 0 1 12300 18900
1 0 0 1 12100 18700
1 0 0 1 12200 18800
1 0 0 1 12300 18900
1 0 0 1 12400 18800
1 0 0 1 14600 18900
1 0 0 1 12100 18700
1 0 0 1 12100 19500
1 0 0 1 12100 18800
1 0 0 1 12100 18700
1 0 0 1 12100 18900
1 0 0 1 12000 20100
1 0 0 1 12300 18800
1 0 0 1 12100 18800
1 0 0 1 12300 18700
1 0 0 1 12100 18800
1 0 0 1 12200 21200
1 0 0 1 12100 18800
1 0 0 1 12400 19000
1 0 0 1 12200 18600
1 0 0 1 12200 18900
1 0 0 1 12100 18700
1 0 0 1 12100 18700
1 0 0 1 12000 18800
1 0 0 1 12400 18900
1 0 0 1 12200 18800
1 0 0 1 12200 18800
1 0 0 1 12100 24500
1 0 0 1 12200 18900
1 0 0 1 12100 18700
1 0 0 1 12100 18700
1 0 0 1 12100 18700
1 0 0 1 12100 18600
1 0 0 1 12100 19100
1 0 0 1 12400 19000
1 0 0 1 12100 18900
1 0 0 1 12300 18700
1 0 0 1 12200 18600
