fabricas clientes rutas costo cantaristas tiempo 
1 3 3 3 3 15 
1 3 3 33 3 13 
1 3 3 12 3 15 
1 3 3 20 3 13 
1 3 3 16 3 14 
1 3 3 30 3 13 
1 3 3 14 3 14 
1 3 3 9 3 12 
1 3 3 21 3 15 
1 3 3 23 3 13 
1 4 4 29 4 24 
1 4 4 66 4 22 
1 4 4 34 4 20 
1 4 4 62 4 20 
1 4 4 42 4 20 
1 4 4 58 4 20 
1 4 4 39 4 21 
1 4 4 38 4 20 
1 4 4 34 4 21 
1 4 4 43 4 20 
1 5 5 99 5 24 
1 5 5 108 5 24 
1 5 5 116 5 24 
1 5 5 43 5 25 
1 5 5 93 5 23 
1 5 5 83 5 24 
1 5 5 100 5 24 
1 5 5 76 5 24 
1 5 5 82 5 24 
1 5 5 64 5 24 
2 4 4 97 4 23 
2 4 4 83 4 23 
2 4 4 70 4 22 
2 4 4 46 4 23 
2 4 4 92 4 23 
2 4 4 51 4 22 
2 4 4 38 4 22 
2 4 4 41 4 23 
2 4 4 103 4 23 
2 4 4 80 4 23 
1 6 6 227 6 26 
1 6 6 147 6 28 
1 6 6 195 6 28 
1 6 6 119 6 27 
1 6 6 190 6 26 
1 6 6 209 6 25 
1 6 6 74 6 25 
1 6 6 116 6 25 
1 6 6 147 6 26 
1 6 6 221 6 26 
2 5 5 124 5 25 
2 5 5 68 5 26 
2 5 5 78 5 24 
2 5 5 157 5 25 
2 5 5 135 5 26 
2 5 5 130 5 25 
2 5 5 94 5 25 
2 5 5 102 5 25 
2 5 5 125 5 25 
2 5 5 97 5 25 
1 7 7 243 7 28 
1 7 7 213 7 28 
1 7 7 184 7 28 
1 7 7 187 7 28 
1 7 7 220 7 28 
1 7 7 125 7 27 
1 7 7 216 7 27 
1 7 7 310 7 28 
1 7 7 281 7 28 
1 7 7 179 7 27 
2 6 6 198 6 28 
2 6 6 229 6 29 
2 6 6 234 6 28 
2 6 6 258 6 22 
2 6 6 191 6 21 
2 6 6 201 6 21 
2 6 6 136 6 21 
2 6 6 143 6 21 
2 6 6 107 6 21 
2 6 6 114 6 20 
3 5 5 226 5 21 
3 5 5 196 5 25 
3 5 5 146 5 28 
3 5 5 179 5 27 
3 5 5 166 5 26 
3 5 5 138 5 27 
3 5 5 101 5 20 
3 5 5 143 5 20 
3 5 5 96 5 26 
3 5 5 113 5 27 
1 8 8 318 8 31 
1 8 8 195 8 31 
1 8 8 260 8 31 
1 8 8 289 8 31 
1 8 8 350 8 31 
1 8 8 360 8 32 
1 8 8 210 8 34 
1 8 8 409 8 29 
1 8 8 406 8 29 
1 8 8 300 8 31 
2 7 7 275 7 30 
2 7 7 156 7 29 
2 7 7 328 7 28 
2 7 7 313 7 28 
2 7 7 337 7 27 
2 7 7 317 7 28 
2 7 7 303 7 28 
2 7 7 171 7 31 
2 7 7 348 7 30 
2 7 7 350 7 30 
3 6 6 234 6 29 
3 6 6 273 6 30 
3 6 6 182 6 29 
3 6 6 231 6 27 
3 6 6 158 6 28 
3 6 6 289 6 29 
3 6 6 195 6 28 
3 6 6 255 6 28 
3 6 6 235 6 28 
3 6 6 150 6 28 
1 9 9 550 9 31 
1 9 9 503 9 31 
1 9 9 372 9 31 
1 9 9 269 9 30 
1 9 9 547 9 30 
1 9 9 426 9 32 
1 9 9 387 9 31 
1 9 9 445 9 31 
1 9 9 462 9 31 
1 9 9 440 9 30 
2 8 8 419 8 30 
2 8 8 344 8 29 
2 8 8 372 8 30 
2 8 8 413 8 29 
2 8 8 535 8 31 
2 8 8 458 8 30 
2 8 8 523 8 30 
2 8 8 432 8 30 
2 8 8 484 8 30 
2 8 8 415 8 30 
3 7 7 438 7 29 
3 7 7 318 7 29 
3 7 7 350 7 29 
3 7 7 240 7 29 
3 7 7 276 7 30 
3 7 7 482 7 30 
3 7 7 580 7 29 
