fabricas clientes rutas costo cantaristas tiempo 
1 3 6 9 3 35 
1 3 6 6 3 18 
1 3 6 5 3 13 
1 3 6 13 3 18 
1 3 6 9 3 12 
1 3 6 17 3 12 
1 3 6 2 3 13 
1 3 6 27 3 13 
1 3 6 22 3 13 
1 3 6 11 3 13 
1 4 10 11 4 19 
1 4 10 32 4 16 
1 4 10 19 4 16 
1 4 10 13 4 16 
1 4 10 18 4 16 
1 4 10 21 4 15 
1 4 10 35 4 16 
1 4 10 23 4 15 
1 4 10 32 4 16 
1 4 10 6 4 16 
1 5 15 18 5 19 
1 5 15 35 5 18 
1 5 15 30 5 18 
1 5 15 13 5 18 
1 5 15 45 5 18 
1 5 15 33 5 19 
1 5 15 49 5 18 
1 5 15 16 5 19 
1 5 15 18 5 18 
1 5 15 19 5 18 
2 4 15 19 4 17 
2 4 15 40 4 17 
2 4 15 29 4 17 
2 4 15 40 4 17 
2 4 15 23 4 17 
2 4 15 27 4 17 
2 4 15 20 4 17 
2 4 15 23 4 18 
2 4 15 44 4 18 
2 4 15 24 4 17 
1 6 21 74 6 22 
1 6 21 50 6 21 
1 6 21 62 6 22 
1 6 21 41 6 21 
1 6 21 20 6 21 
1 6 21 13 6 22 
1 6 21 59 6 22 
1 6 21 26 6 21 
1 6 21 32 6 21 
1 6 21 51 6 21 
2 5 21 18 5 20 
2 5 21 67 5 19 
2 5 21 40 5 20 
2 5 21 24 5 19 
2 5 21 30 5 20 
2 5 21 6 5 20 
2 5 21 40 5 20 
2 5 21 15 5 20 
2 5 21 56 5 20 
2 5 21 50 5 20 
1 7 28 34 7 25 
1 7 28 81 7 25 
1 7 28 77 7 24 
1 7 28 25 7 24 
1 7 28 55 7 24 
1 7 28 48 7 25 
1 7 28 68 7 24 
1 7 28 41 7 24 
1 7 28 75 7 24 
1 7 28 54 7 24 
2 6 28 38 6 23 
2 6 28 46 6 23 
2 6 28 88 6 23 
2 6 28 44 6 22 
2 6 28 80 6 23 
2 6 28 67 6 23 
2 6 28 45 6 23 
2 6 28 59 6 23 
2 6 28 33 6 23 
2 6 28 55 6 22 
3 5 28 45 5 22 
3 5 28 46 5 23 
3 5 28 63 5 22 
3 5 28 64 5 22 
3 5 28 29 5 22 
3 5 28 48 5 21 
3 5 28 65 5 22 
3 5 28 43 5 22 
3 5 28 63 5 22 
3 5 28 49 5 22 
1 8 36 117 8 28 
1 8 36 77 8 28 
1 8 36 54 8 26 
1 8 36 74 8 26 
1 8 36 139 8 27 
1 8 36 73 8 28 
1 8 36 90 8 27 
1 8 36 113 8 27 
1 8 36 84 8 27 
1 8 36 63 8 27 
2 7 36 134 7 25 
2 7 36 15 7 26 
2 7 36 48 7 26 
2 7 36 110 7 26 
2 7 36 55 7 26 
2 7 36 94 7 26 
2 7 36 107 7 27 
2 7 36 86 7 26 
2 7 36 58 7 26 
2 7 36 129 7 26 
3 6 36 69 6 25 
3 6 36 65 6 25 
3 6 36 119 6 25 
3 6 36 78 6 25 
3 6 36 49 6 24 
3 6 36 54 6 25 
3 6 36 40 6 25 
3 6 36 64 6 25 
3 6 36 58 6 25 
3 6 36 55 6 25 
1 9 45 107 9 31 
1 9 45 103 9 31 
1 9 45 97 9 30 
1 9 45 58 9 30 
1 9 45 78 9 30 
1 9 45 125 9 29 
1 9 45 82 9 30 
1 9 45 94 9 30 
1 9 45 81 9 31 
1 9 45 179 9 30 
2 8 45 86 8 29 
2 8 45 82 8 29 
2 8 45 56 8 29 
2 8 45 132 8 29 
2 8 45 136 8 29 
2 8 45 55 8 29 
2 8 45 96 8 29 
2 8 45 65 8 29 
2 8 45 47 8 29 
2 8 45 68 8 30 
3 7 45 71 7 28 
3 7 45 62 7 28 
3 7 45 131 7 28 
3 7 45 54 7 28 
3 7 45 75 7 28 
3 7 45 42 7 28 
3 7 45 74 7 28 
3 7 45 54 7 28 
3 7 45 89 7 28 
3 7 45 78 7 28 
4 6 45 54 6 27 
4 6 45 70 6 27 
4 6 45 55 6 27 
4 6 45 45 6 27 
4 6 45 52 6 27 
4 6 45 57 6 27 
4 6 45 53 6 27 
4 6 45 44 6 28 
4 6 45 8 6 27 
4 6 45 86 6 27 
1 10 55 122 10 36 
1 10 55 126 10 36 
1 10 55 95 10 42 
1 10 55 173 10 44 
1 10 55 85 10 35 
1 10 55 79 10 33 
1 10 55 81 10 33 
1 10 55 238 10 33 
1 10 55 67 10 33 
1 10 55 158 10 33 
2 9 55 141 9 32 
2 9 55 92 9 33 
2 9 55 101 9 38 
2 9 55 78 9 40 
2 9 55 74 9 39 
2 9 55 116 9 41 
2 9 55 95 9 42 
2 9 55 167 9 43 
2 9 55 171 9 36 
2 9 55 120 9 35 
3 8 55 73 8 32 
3 8 55 46 8 32 
3 8 55 88 8 31 
3 8 55 108 8 31 
3 8 55 112 8 31 
3 8 55 90 8 32 
3 8 55 93 8 31 
3 8 55 91 8 31 
3 8 55 90 8 31 
3 8 55 105 8 31 
4 7 55 79 7 30 
4 7 55 60 7 30 
4 7 55 50 7 30 
4 7 55 57 7 30 
4 7 55 53 7 30 
4 7 55 55 7 30 
4 7 55 80 7 30 
4 7 55 80 7 30 
4 7 55 114 7 32 
4 7 55 63 7 30 
1 11 66 78 11 37 
1 11 66 132 11 37 
1 11 66 118 11 38 
1 11 66 168 11 37 
1 11 66 265 11 37 
1 11 66 165 11 37 
1 11 66 164 11 37 
1 11 66 111 11 37 
1 11 66 198 11 38 
1 11 66 193 11 37 
