fabricas clientes rutas costo cantaristas tiempo  
1 3 5 26 3 62 
1 3 4 7 3 53 
1 3 4 11 3 52 
1 3 4 14 3 51 
1 3 4 16 3 51 
1 3 5 8 3 52 
1 3 6 8 3 52 
1 3 5 11 3 51 
1 3 5 10 3 52 
1 3 6 29 3 51 
1 3 4 16 3 143 
1 3 5 10 3 53 
1 3 4 9 3 52 
1 3 4 21 3 51 
1 3 5 16 3 51 
1 3 5 18 3 51 
1 3 5 35 3 52 
1 3 6 8 3 52 
1 3 4 14 3 51 
1 3 4 8 3 51 
1 3 6 20 3 51 
1 3 4 36 3 51 
1 3 4 7 3 51 
1 3 6 23 3 52 
1 3 4 15 3 51 
1 3 4 11 3 51 
1 3 6 20 3 51 
1 3 6 3 3 51 
1 3 5 26 3 51 
1 3 6 4 3 51 
1 3 6 9 3 51 
1 3 6 1 3 51 
1 3 5 16 3 51 
1 3 6 14 3 51 
1 3 5 6 3 51 
1 3 4 7 3 51 
1 3 5 17 3 51 
1 3 5 16 3 52 
1 3 4 15 3 51 
1 3 5 14 3 51 
1 3 6 6 3 51 
1 3 4 20 3 51 
1 3 6 20 3 52 
1 3 5 3 3 52 
1 3 6 8 3 51 
1 3 6 8 3 52 
1 3 4 16 3 51 
1 3 5 8 3 51 
1 3 5 28 3 61 
1 3 5 21 3 52 
1 3 4 17 3 51 
1 3 4 20 3 50 
1 3 5 2 3 52 
1 3 4 21 3 51 
1 3 6 12 3 51 
1 3 6 23 3 51 
1 3 5 13 3 52 
1 3 6 19 3 52 
1 3 6 14 3 51 
1 3 5 13 3 51 
1 3 6 13 3 51 
1 3 4 11 3 51 
1 3 5 10 3 52 
1 3 6 19 3 52 
1 3 6 13 3 52 
1 3 4 24 3 51 
1 3 4 19 3 51 
1 3 5 26 3 51 
1 3 4 13 3 51 
1 3 6 8 3 52 
1 3 4 22 3 51 
1 3 6 12 3 52 
1 3 6 8 3 52 
1 3 4 1 3 51 
1 3 6 2 3 51 
1 3 4 23 3 51 
1 3 4 17 3 51 
1 3 5 19 3 51 
1 3 6 20 3 51 
1 3 6 19 3 51 
1 3 4 22 3 52 
1 3 5 18 3 51 
1 3 5 18 3 51 
1 3 6 10 3 52 
1 3 6 30 3 51 
1 3 5 4 3 90 
1 3 4 27 3 52 
1 3 4 4 3 50 
1 3 6 13 3 51 
1 3 5 16 3 51 
1 3 5 5 3 52 
1 3 5 13 3 51 
1 3 6 0 3 51 
1 3 4 6 3 51 
1 3 4 18 3 51 
1 3 4 30 3 51 
1 3 4 18 3 51 
1 3 4 21 3 51 
1 3 5 7 3 51 
1 3 6 10 3 51 
1 4 10 31 4 66 
1 4 8 29 4 64 
1 4 7 50 4 63 
1 4 5 35 4 62 
1 4 9 20 4 63 
1 4 10 26 4 89 
1 4 6 44 4 95 
1 4 7 33 4 93 
1 4 6 22 4 93 
1 4 10 6 4 98 
1 4 6 51 4 100 
1 4 10 21 4 101 
1 4 6 43 4 105 
1 4 10 25 4 104 
1 4 9 15 4 95 
1 4 5 43 4 95 
1 4 7 19 4 104 
1 4 10 9 4 105 
1 4 6 71 4 206 
1 4 7 13 4 96 
1 4 10 29 4 100 
1 4 8 56 4 93 
1 4 9 16 4 99 
1 4 5 55 4 99 
1 4 7 15 4 100 
1 4 6 35 4 90 
1 4 5 51 4 90 
1 4 5 61 4 164 
1 4 9 30 4 92 
1 4 10 37 4 93 
1 4 7 34 4 89 
1 4 6 31 4 90 
1 4 9 41 4 97 
1 4 9 39 4 97 
1 4 7 42 4 91 
1 4 8 26 4 98 
1 4 9 29 4 99 
1 4 5 45 4 96 
1 4 5 34 4 95 
1 4 5 44 4 92 
1 4 7 22 4 87 
1 4 10 22 4 84 
1 4 10 10 4 87 
1 4 6 36 4 86 
1 4 8 22 4 85 
1 4 7 44 4 85 
1 4 5 47 4 81 
1 4 8 27 4 88 
1 4 6 62 4 95 
1 4 6 47 4 140 
1 4 8 33 4 64 
1 4 7 15 4 63 
1 4 9 32 4 63 
1 4 5 64 4 62 
1 4 8 15 4 63 
1 4 5 31 4 62 
1 4 10 17 4 63 
1 4 10 16 4 63 
1 4 6 20 4 62 
1 4 9 6 4 63 
1 4 10 13 4 63 
1 4 5 61 4 61 
1 4 10 26 4 63 
1 4 6 48 4 87 
1 4 7 25 4 86 
1 4 7 11 4 89 
1 4 9 41 4 64 
1 4 5 44 4 61 
1 4 9 18 4 62 
1 4 5 50 4 62 
1 4 9 54 4 62 
1 4 6 38 4 61 
1 4 5 42 4 61 
1 4 5 45 4 61 
