fabricas clientes rutas costo cantaristas tiempo 
1 0 0 0 0 40 
1 1 1 2 1 47 
1 2 2 9 2 57 
1 3 3 31 3 71 
1 4 4 33 4 113 
1 5 5 75 5 143 
1 6 6 178 6 118 
1 7 7 259 7 190 
1 8 8 318 8 117 
1 9 9 405 9 117 
1 10 10 547 10 150 
1 11 11 563 11 142 
1 12 12 959 12 150 
1 13 13 1215 13 165 
1 14 14 1607 14 176 
1 15 15 1800 15 194 
1 16 16 2203 16 201 
1 17 17 3110 17 217 
1 18 18 3148 18 228 
1 19 19 3706 19 328 
1 20 20 4569 20 265 
1 21 21 4991 21 268 
1 22 22 7499 22 300 
1 23 23 7187 23 302 
1 24 24 6890 24 309 
1 25 25 8966 25 322 
1 26 26 8248 26 335 
1 27 27 11059 27 394 
1 28 28 11225 28 374 
1 29 29 12249 29 384 
1 30 30 12895 30 1030 
1 31 31 14836 31 421 
1 32 32 16447 32 441 
1 33 33 17755 33 451 
1 34 34 20566 34 460 
1 35 35 23671 35 480 
1 36 36 25502 36 514 
1 37 37 25501 37 514 
1 38 38 29085 38 525 
1 39 39 31611 39 548 
1 40 40 34579 40 580 
1 41 41 39961 41 585 
1 42 42 38549 42 605 
1 43 43 38693 43 688 
1 44 44 47272 44 1244 
1 45 45 50288 45 650 
1 46 46 44864 46 703 
1 47 47 46962 47 709 
1 48 48 48214 48 715 
1 49 49 59338 49 738 
1 50 50 72143 50 754 
1 51 51 72430 51 775 
1 52 52 74270 52 835 
1 53 53 70754 53 818 
1 54 54 84860 54 829 
1 55 55 78017 55 1455 
1 56 56 96097 56 884 
1 57 57 88235 57 915 
1 58 58 102341 58 922 
1 59 59 106303 59 959 
1 60 60 115664 60 947 
