fabricas clientes rutas costo cantaristas tiempo 
2 3 10 17 3 101 
3 4 21 13 4 117 
4 5 36 32 5 102 
5 6 55 59 6 202 
6 7 78 88 7 209 
7 8 105 58 8 272 
8 9 136 55 9 295 
9 10 171 132 10 324 
10 11 210 247 11 364 
11 12 253 230 12 398 
12 13 300 344 13 443 
13 14 351 301 14 497 
14 15 406 374 15 786 
15 16 465 529 16 924 
16 17 528 576 17 654 
17 18 595 620 18 510 
18 19 666 760 19 602 
19 20 741 630 20 797 
20 21 820 892 21 632 
21 22 903 992 22 663 
22 23 990 1081 23 722 
23 24 1081 1064 24 771 
24 25 1176 1221 25 792 
25 26 1275 1551 26 846 
26 27 1378 1845 27 884 
27 28 1485 1421 28 975 
28 29 1596 2272 29 994 
29 30 1711 2390 30 1061 
30 31 1830 1533 31 1097 
31 32 1953 2096 32 1159 
32 33 2080 2591 33 1212 
33 34 2211 2696 34 1294 
34 35 2346 3964 35 1324 
35 36 2485 3051 36 1411 
36 37 2628 3506 37 1475 
37 38 2775 3193 38 1553 
38 39 2926 3357 39 1589 
39 40 3081 4518 40 1653 
40 41 3240 3694 41 1726 
41 42 3403 3661 42 1812 
42 43 3570 3602 43 1843 
43 44 3741 3653 44 1939 
44 45 3916 4332 45 1990 
45 46 4095 4360 46 2073 
46 47 4278 4966 47 2154 
47 48 4465 6430 48 2264 
48 49 4656 4587 49 2339 
49 50 4851 5042 50 2447 
50 51 5050 4838 51 2480 
51 52 5253 5666 52 2566 
52 53 5460 6193 53 2705 
53 54 5671 4978 54 2724 
54 55 5886 4657 55 2849 
55 56 6105 6890 56 3021 
56 57 6328 6904 57 3194 
57 58 6555 5990 58 3173 
58 59 6786 8177 59 3206 
59 60 7021 8672 60 3659 
