fabricas clientes rutas costo cantaristas tiempo 
1 2 3 0 2 72 
2 2 6 6 2 82 
2 3 10 7 3 149 
3 3 15 20 3 71 
3 4 21 17 4 82 
4 4 28 30 4 88 
4 5 36 39 5 102 
5 5 45 94 5 108 
5 6 55 67 6 126 
6 6 66 44 6 132 
6 7 78 67 7 184 
7 7 91 122 7 171 
7 8 105 97 8 183 
8 8 120 158 8 185 
8 9 136 112 9 200 
9 9 153 124 9 211 
9 10 171 52 10 233 
10 10 190 221 10 243 
10 11 210 127 11 316 
11 11 231 310 11 269 
11 12 253 256 12 312 
12 12 276 493 12 300 
12 13 300 483 13 350 
13 13 325 657 13 328 
13 14 351 323 14 438 
14 14 378 365 14 431 
14 15 406 322 15 433 
15 15 435 496 15 558 
15 16 465 523 16 627 
16 16 496 547 16 633 
16 17 528 730 17 486 
17 17 561 385 17 486 
17 18 595 622 18 502 
18 18 630 537 18 503 
18 19 666 649 19 566 
19 19 703 935 19 540 
19 20 741 903 20 582 
20 20 780 1029 20 586 
20 21 820 520 21 629 
21 21 861 784 21 646 
21 22 903 956 22 656 
22 22 946 948 22 692 
22 23 990 1144 23 733 
23 23 1035 1330 23 710 
23 24 1081 1829 24 754 
24 24 1128 1342 24 778 
24 25 1176 1138 25 852 
25 25 1225 1238 25 810 
25 26 1275 1326 26 894 
26 26 1326 1270 26 885 
26 27 1378 1719 27 901 
27 27 1431 1389 27 911 
27 28 1485 2126 28 980 
28 28 1540 2180 28 1216 
28 29 1596 1577 29 1008 
29 29 1653 1831 29 1022 
29 30 1711 1762 30 1068 
30 30 1770 1559 30 1074 
30 31 1830 1950 31 1103 
31 31 1891 1860 31 1118 
31 32 1953 2251 32 1180 
32 32 2016 2289 32 1192 
32 33 2080 1981 33 1259 
33 33 2145 2172 33 1633 
33 34 2211 2463 34 1568 
34 34 2278 2497 34 1299 
34 35 2346 3175 35 1339 
35 35 2415 2701 35 1375 
35 36 2485 2326 36 1420 
36 36 2556 2983 36 1461 
36 37 2628 2858 37 1491 
37 37 2701 4259 37 1522 
37 38 2775 2794 38 2087 
38 38 2850 3448 38 1611 
38 39 2926 3216 39 1637 
39 39 3003 2725 39 1651 
39 40 3081 3036 40 1688 
40 40 3160 3112 40 3022 
40 41 3240 4259 41 1962 
41 41 3321 4318 41 2048 
41 42 3403 3496 42 2566 
42 42 3486 3841 42 1894 
42 43 3570 4364 43 1889 
43 43 3655 4784 43 1946 
43 44 3741 3735 44 1954 
44 44 3828 4755 44 2213 
44 45 3916 4703 45 2032 
45 45 4005 5284 45 2040 
45 46 4095 4684 46 2172 
46 46 4186 4618 46 2164 
46 47 4278 4299 47 2281 
47 47 4371 4234 47 2252 
47 48 4465 3593 48 2419 
48 48 4560 5738 48 2354 
48 49 4656 7086 49 3148 
49 49 4753 4573 49 2463 
49 50 4851 6315 50 2550 
50 50 4950 5420 50 3255 
50 51 5050 6728 51 2925 
51 51 5151 5573 51 2594 
51 52 5253 5743 52 2645 
52 52 5356 4831 52 3338 
52 53 5460 5974 53 2730 
53 53 5565 6500 53 2857 
53 54 5671 4632 54 3695 
54 54 5778 7736 54 3650 
54 55 5886 7391 55 2949 
55 55 5995 7492 55 2896 
55 56 6105 7486 56 3819 
56 56 6216 6279 56 3104 
56 57 6328 7763 57 3147 
57 57 6441 6291 57 4184 
57 58 6555 8231 58 3150 
58 58 6670 9386 58 4335 
58 59 6786 9057 59 3297 
59 59 6903 7589 59 3272 
59 60 7021 7984 60 3455 
60 60 7140 7282 60 3429 
