1 2 3
2 1 0
3 1 1
3 2 0
2 2 6
3 1 2
4 1 7
1 2 10
2 3 4
4 3 9
2 4 4
2 3 10
3 1 17
4 1 16
5 2 0
1 2 14
4 3 5
5 3 13
2 4 14
4 5 2
2 3 20
1 5 15
3 3 15
4 1 11
5 2 19
6 3 3
1 2 25
4 6 30
3 2 29
3 1 21
4 5 30
5 1 9
5 3 28
6 1 0
2 4 20
3 4 13
6 5 16
6 2 9
3 4 21
4 1 4
5 3 33
6 4 17
7 5 48
1 2 11
1 6 10
6 7 4
4 2 12
7 4 8
4 5 7
7 3 9
6 5 11
3 4 28
5 1 21
1 3 33
2 6 2
5 2 30
3 2 17
1 7 42
3 6 31
2 7 15
4 4 28
5 1 9
6 1 10
7 1 34
8 3 61
1 2 24
6 4 28
3 7 40
6 7 51
8 5 62
7 5 9
3 4 2
7 8 36
2 4 26
2 8 24
8 4 33
8 6 10
2 5 63
4 5 16
2 6 2
3 5 46
2 7 33
1 8 16
3 6 42
2 3 2
5 6 12
7 4 33
1 4 38
1 3 21
4 5 36
5 1 59
6 3 21
7 2 22
8 6 75
9 1 38
1 2 60
6 9 35
2 9 69
4 3 69
1 8 80
4 1 42
5 6 15
1 6 13
7 6 75
6 4 42
5 2 11
5 3 56
8 7 46
7 5 42
9 7 77
5 4 35
8 5 31
8 2 18
2 3 5
9 8 1
4 9 35
7 3 8
4 2 63
9 3 56
9 5 6
7 1 47
3 8 29
8 4 40
6 2 73
3 1 74
4 7 22
5 5 45
6 1 33
7 5 57
8 2 13
9 1 6
10 6 54
1 2 25
7 9 43
3 1 17
3 9 46
8 6 44
8 10 60
2 5 50
9 6 34
10 5 47
4 5 45
2 3 0
8 1 10
8 3 77
7 4 80
8 5 45
4 1 79
7 2 75
1 7 68
5 9 57
7 10 46
8 7 43
4 3 48
4 10 52
10 3 83
1 5 86
4 6 90
9 8 50
4 2 82
3 7 13
9 2 18
2 6 38
4 8 9
6 3 65
5 3 41
9 4 47
6 5 20
7 6 52
1 10 81
10 2 55
9 10 50
5 6 55
6 1 102
7 2 47
8 4 25
9 7 30
10 4 22
11 8 62
1 2 101
11 2 62
10 1 22
4 6 105
8 1 20
11 5 9
9 2 53
4 5 103
10 8 4
6 2 16
2 3 45
2 5 50
6 5 16
4 2 115
11 1 83
6 11 16
7 4 29
5 10 64
10 9 80
6 7 72
5 8 9
5 7 35
8 2 25
1 9 102
5 3 107
6 9 114
3 7 60
7 1 69
6 3 43
2 10 112
10 6 82
8 9 109
10 7 31
5 9 76
9 3 112
7 11 105
8 7 16
3 4 91
11 9 104
1 5 35
6 8 38
1 4 40
11 10 7
10 3 95
4 9 15
1 3 37
8 3 118
11 3 96
4 11 118
6 6 66
7 1 114
8 3 3
9 6 74
10 2 77
11 8 110
12 6 116
1 2 55
8 9 9
5 9 0
8 10 105
8 1 121
12 3 108
3 7 8
9 12 85
10 6 129
5 7 49
2 11 134
6 5 48
8 6 70
3 6 106
9 2 80
11 12 88
11 1 112
9 4 40
3 5 19
5 2 132
3 11 123
8 7 97
5 1 125
1 12 15
2 4 56
4 12 91
8 2 79
12 7 91
9 7 81
4 1 59
1 10 110
12 5 39
7 11 131
6 4 83
9 10 30
5 4 127
10 7 34
4 11 18
11 9 59
6 11 104
11 5 135
8 5 126
1 3 137
9 3 19
12 8 56
10 5 27
6 1 37
2 12 18
4 10 104
4 8 29
3 4 133
2 3 42
10 12 0
4 7 76
10 11 135
1 9 100
6 7 99
10 3 138
2 7 18
2 6 98
6 7 78
7 1 115
8 5 121
9 3 38
10 4 45
11 6 107
12 10 79
13 10 147
1 2 69
13 3 36
4 11 67
12 9 39
4 7 37
11 5 150
7 11 124
10 3 19
10 8 92
2 13 18
6 12 100
6 1 136
9 13 34
7 10 101
11 9 100
7 2 132
9 10 102
3 5 120
8 11 144
4 5 29
6 13 5
13 1 9
6 9 0
9 5 9
5 13 69
2 3 113
6 7 124
7 12 0
8 6 146
9 8 59
6 3 70
9 1 96
4 12 119
5 12 11
4 13 53
13 7 164
5 1 77
1 10 125
11 12 114
7 8 82
7 5 72
4 6 67
3 1 161
12 13 46
9 7 154
11 3 25
4 3 110
10 11 82
3 8 124
2 6 67
11 13 71
10 6 165
8 1 105
2 12 114
12 8 7
5 6 18
1 12 67
2 4 159
3 12 120
8 13 59
5 10 135
4 9 40
4 1 21
11 2 135
2 10 84
2 9 30
8 4 46
7 3 62
2 5 151
8 2 165
11 1 65
7 7 91
8 1 132
9 7 58
10 5 124
11 4 2
12 10 26
13 5 87
14 10 96
1 2 28
5 7 115
2 9 75
14 6 189
4 7 187
5 2 111
13 8 48
3 10 92
1 13 50
7 12 181
10 9 82
10 11 186
11 2 176
14 7 52
5 12 152
6 12 178
13 2 166
7 8 38
3 1 128
12 14 65
6 10 74
1 12 110
10 7 25
3 6 129
11 8 181
7 11 148
3 8 119
13 14 182
7 2 12
2 4 178
8 14 164
11 3 6
3 14 108
13 6 70
9 5 13
1 5 25
8 4 49
14 4 174
1 6 143
11 14 158
1 10 146
13 9 148
5 14 179
11 9 64
12 2 91
10 4 1
9 14 42
4 5 29
2 14 188
12 13 141
9 4 57
7 13 132
4 13 33
9 12 121
6 4 159
12 3 187
6 7 10
13 11 175
10 2 2
1 4 118
8 12 5
9 8 131
1 9 26
7 1 179
11 5 187
6 2 4
2 3 165
10 8 153
5 8 122
5 3 119
13 3 193
1 11 112
10 13 80
6 11 192
6 9 30
14 1 110
3 9 63
11 12 65
8 2 86
6 5 109
4 3 146
8 6 166
7 3 65
12 4 58
7 8 105
8 1 94
9 7 146
10 8 169
11 2 203
12 9 18
13 11 109
14 10 203
15 5 169
1 2 194
11 9 20
14 5 199
6 4 39
7 6 121
4 13 203
8 9 128
4 2 106
5 11 153
5 7 97
4 9 217
13 5 19
1 7 212
13 8 95
1 5 125
8 14 28
4 7 135
3 12 206
13 15 30
11 14 101
12 7 139
15 4 187
15 14 83
12 5 60
2 3 205
5 4 102
5 9 61
8 7 200
11 10 6
2 5 20
6 2 169
9 13 57
10 15 37
9 2 162
7 14 183
3 14 19
3 13 215
1 15 129
12 14 44
13 14 134
12 2 15
1 11 35
12 13 220
6 3 210
7 2 167
13 2 158
8 4 197
3 8 141
7 10 19
14 2 224
13 6 93
2 8 45
14 9 30
6 12 44
11 12 6
9 1 142
6 5 58
6 10 58
3 9 133
8 5 4
6 1 107
3 4 191
12 4 99
11 15 156
7 3 136
15 8 70
8 6 161
10 5 82
14 4 27
2 15 43
15 9 136
6 11 130
2 10 74
11 7 146
12 15 43
11 8 148
10 13 23
8 12 216
1 10 70
1 4 53
3 15 168
11 3 30
13 1 175
6 15 13
5 3 131
1 14 123
10 4 32
7 15 128
9 10 52
14 6 16
4 11 33
12 10 43
3 1 116
10 3 124
9 6 42
13 7 33
12 1 216
8 8 120
9 1 201
10 8 210
11 9 54
12 5 118
13 9 209
14 4 182
15 6 39
16 9 122
1 2 42
6 3 97
5 16 181
12 10 160
4 1 51
12 15 186
6 14 140
4 9 26
14 11 209
5 7 248
15 1 34
5 3 131
9 2 57
4 12 217
7 12 12
3 10 199
8 4 58
11 13 84
9 7 37
13 14 186
13 1 190
15 4 102
11 12 214
1 7 226
3 1 169
14 5 193
10 9 153
16 15 85
12 1 39
6 16 53
6 12 255
16 8 228
3 8 141
11 16 223
7 15 93
2 15 132
13 3 31
8 2 160
10 1 151
14 3 158
11 15 188
12 9 133
9 14 193
15 8 166
14 2 102
7 3 253
4 5 155
15 3 87
6 8 246
2 11 47
15 13 236
12 13 192
4 10 51
6 1 166
6 4 194
13 6 231
4 3 92
8 1 155
6 7 166
11 8 77
1 11 15
8 12 175
2 13 130
16 10 14
7 16 122
5 15 33
10 7 239
9 8 91
11 5 3
13 7 213
13 8 165
10 13 234
14 16 174
10 5 94
4 11 161
16 12 175
7 14 186
2 12 35
14 15 166
14 1 228
3 16 60
12 3 253
12 14 168
9 15 172
8 5 153
7 2 222
4 16 0
14 8 224
16 1 171
7 4 4
5 1 101
14 10 39
