fabricas clientes rutas costo cantaristas tiempo 
1 2 3 9 2 69 
1 2 3 0 2 58 
1 2 3 9 2 55 
1 2 3 7 2 55 
1 2 3 4 2 55 
1 2 3 7 2 55 
1 2 3 2 2 55 
1 2 3 6 2 54 
1 2 3 2 2 55 
1 2 3 0 2 55 
1 3 6 7 3 81 
1 3 5 2 3 69 
1 3 6 2 3 69 
1 3 4 14 3 111 
1 3 6 17 3 70 
1 3 6 5 3 68 
1 3 5 20 3 68 
1 3 4 19 3 68 
1 3 6 18 3 68 
1 3 6 12 3 68 
2 3 10 22 3 81 
2 3 10 12 3 82 
2 3 7 21 3 79 
2 3 5 8 3 80 
2 3 10 16 3 79 
2 3 8 22 3 79 
2 3 9 10 3 79 
2 3 10 12 3 78 
2 3 6 27 3 78 
2 3 9 15 3 78 
1 4 9 32 4 84 
1 4 5 23 4 82 
1 4 5 38 4 83 
1 4 9 17 4 82 
1 4 6 26 4 83 
1 4 5 30 4 82 
1 4 8 11 4 83 
1 4 6 53 4 82 
1 4 6 29 4 85 
1 4 9 15 4 85 
2 4 12 34 4 94 
2 4 12 23 4 95 
2 4 5 76 4 92 
2 4 6 79 4 91 
2 4 15 30 4 93 
2 4 14 21 4 94 
2 4 7 83 4 90 
2 4 13 22 4 92 
2 4 9 42 4 92 
2 4 7 55 4 89 
3 4 19 35 4 106 
3 4 8 70 4 103 
3 4 7 112 4 101 
3 4 5 107 4 100 
3 4 11 40 4 101 
3 4 17 57 4 102 
3 4 7 104 4 100 
3 4 21 30 4 86 
3 4 15 94 4 77 
3 4 19 19 4 78 
1 5 8 88 5 75 
1 5 11 65 5 74 
1 5 14 48 5 76 
1 5 10 48 5 73 
1 5 8 31 5 73 
1 5 13 75 5 73 
1 5 15 25 5 73 
1 5 14 43 5 75 
1 5 9 60 5 73 
1 5 14 22 5 74 
2 5 10 69 5 82 
2 5 17 45 5 85 
2 5 7 73 5 107 
2 5 20 27 5 119 
2 5 16 92 5 106 
2 5 13 65 5 82 
2 5 11 96 5 81 
2 5 7 93 5 81 
2 5 13 87 5 85 
2 5 8 74 5 79 
3 5 8 135 5 87 
3 5 20 31 5 91 
3 5 6 166 5 83 
3 5 7 215 5 86 
3 5 21 43 5 87 
3 5 16 30 5 87 
3 5 16 51 5 87 
3 5 14 97 5 86 
3 5 16 80 5 86 
3 5 15 95 5 87 
4 5 19 63 5 96 
4 5 10 181 5 94 
4 5 14 56 5 93 
4 5 33 84 5 97 
