fabricas clientes rutas costo cantaristas tiempo 
1 2 3 9 2 104 
1 2 3 0 2 120 
1 2 3 9 2 100 
1 2 3 7 2 83 
1 2 3 4 2 120 
1 2 3 7 2 93 
1 2 3 2 2 91 
1 2 3 6 2 84 
1 2 3 2 2 83 
1 2 3 0 2 83 
1 3 6 7 3 135 
1 3 5 2 3 103 
1 3 6 2 3 103 
1 3 4 14 3 102 
1 3 6 17 3 102 
1 3 6 5 3 102 
1 3 5 20 3 103 
1 3 4 19 3 54 
1 3 6 18 3 52 
1 3 6 12 3 51 
2 3 10 22 3 60 
2 3 10 12 3 61 
2 3 7 21 3 58 
2 3 5 8 3 59 
2 3 10 16 3 59 
2 3 8 22 3 59 
2 3 9 10 3 59 
2 3 10 12 3 59 
2 3 6 27 3 59 
2 3 9 15 3 60 
1 4 9 32 4 64 
1 4 5 23 4 62 
1 4 5 38 4 62 
1 4 9 17 4 62 
1 4 6 26 4 62 
1 4 5 30 4 62 
1 4 8 11 4 62 
1 4 6 53 4 62 
1 4 6 29 4 62 
1 4 9 15 4 63 
2 4 12 34 4 70 
2 4 12 23 4 71 
2 4 5 76 4 68 
2 4 6 79 4 70 
2 4 15 30 4 70 
2 4 14 21 4 71 
2 4 7 83 4 84 
2 4 13 22 4 71 
2 4 9 42 4 70 
2 4 7 55 4 68 
3 4 19 35 4 79 
3 4 8 70 4 78 
3 4 7 112 4 76 
3 4 5 107 4 75 
3 4 11 40 4 76 
3 4 17 57 4 78 
3 4 7 104 4 75 
3 4 21 30 4 78 
3 4 15 94 4 78 
3 4 19 19 4 78 
1 5 8 88 5 75 
1 5 11 65 5 74 
1 5 14 48 5 77 
1 5 10 48 5 74 
1 5 8 31 5 73 
1 5 13 75 5 73 
1 5 15 25 5 72 
1 5 14 43 5 76 
1 5 9 60 5 73 
1 5 14 22 5 97 
2 5 10 69 5 85 
2 5 17 45 5 86 
2 5 7 73 5 80 
2 5 20 27 5 83 
2 5 16 92 5 82 
2 5 13 65 5 81 
2 5 11 96 5 80 
2 5 7 93 5 81 
2 5 13 87 5 81 
2 5 8 74 5 80 
3 5 8 135 5 88 
3 5 20 31 5 92 
3 5 6 166 5 83 
3 5 7 215 5 86 
3 5 21 43 5 88 
3 5 16 30 5 88 
3 5 16 51 5 88 
3 5 14 97 5 120 
3 5 16 80 5 125 
3 5 15 95 5 192 
4 5 19 63 5 147 
4 5 10 181 5 216 
4 5 14 56 5 99 
4 5 33 84 5 99 
4 5 34 51 5 98 
4 5 10 200 5 94 
4 5 22 74 5 96 
4 5 31 28 5 98 
4 5 23 125 5 97 
4 5 12 143 5 94 
1 6 12 87 6 85 
1 6 20 31 6 88 
1 6 14 60 6 84 
1 6 20 81 6 89 
1 6 21 33 6 88 
1 6 19 48 6 86 
1 6 13 141 6 84 
1 6 19 23 6 85 
1 6 16 94 6 85 
1 6 7 169 6 82 
2 6 18 49 6 94 
2 6 24 25 6 95 
2 6 17 65 6 92 
2 6 9 117 6 93 
2 6 11 121 6 90 
2 6 21 68 6 95 
2 6 21 82 6 94 
2 6 22 94 6 94 
2 6 11 124 6 91 
2 6 18 67 6 95 
3 6 9 51 6 98 
3 6 13 117 6 100 
3 6 10 122 6 99 
3 6 15 140 6 97 
3 6 32 79 6 102 
3 6 19 142 6 99 
3 6 27 138 6 101 
3 6 11 224 6 96 
3 6 8 267 6 96 
3 6 11 188 6 95 
4 6 25 45 6 108 
4 6 21 158 6 110 
4 6 18 205 6 105 
4 6 45 25 6 111 
4 6 34 92 6 111 
4 6 16 254 6 105 
4 6 14 211 6 104 
4 6 23 98 6 105 
4 6 27 123 6 114 
4 6 28 79 6 108 
5 6 33 85 6 121 
5 6 36 72 6 122 
5 6 33 62 6 117 
5 6 30 134 6 117 
5 6 39 96 6 120 
5 6 19 273 6 116 
5 6 35 62 6 118 
5 6 28 133 6 118 
5 6 15 227 6 114 
5 6 8 351 6 112 
1 7 20 42 7 99 
1 7 26 81 7 136 
1 7 19 32 7 297 
1 7 18 94 7 102 
1 7 23 95 7 98 
1 7 21 51 7 97 
1 7 23 85 7 98 
1 7 27 61 7 101 
1 7 28 35 7 100 
1 7 10 90 7 95 
2 7 20 169 7 121 
2 7 30 54 7 110 
2 7 25 115 7 106 
2 7 23 206 7 104 
2 7 33 75 7 106 
2 7 27 110 7 108 
2 7 17 307 7 104 
2 7 35 53 7 106 
2 7 10 326 7 101 
2 7 12 235 7 102 
3 7 27 207 7 113 
3 7 20 169 7 109 
3 7 16 213 7 110 
3 7 16 230 7 109 
3 7 28 116 7 112 
3 7 45 87 7 117 
3 7 9 542 7 108 
3 7 39 93 7 115 
3 7 27 61 7 111 
3 7 28 99 7 112 
4 7 19 404 7 130 
4 7 41 146 7 127 
4 7 27 114 7 121 
4 7 45 91 7 126 
4 7 24 322 7 120 
4 7 51 62 7 125 
